"Reported_Date","Region","Institution","Total_Active_Inmate_Cases_As_Of_Reported_Date","Cumul_Nr_Resolved_Inmate_Cases_As_Of_Reported_Date","Cumul_Nr_Positive_Released_Inmate_Cases_As_Of_Reported_Date"
"2021-07-20","Northern","Kenora Jail",0,8,1
"2021-07-20","Northern","Monteith Correctional Centre",0,26,13
"2021-07-20","Central","Maplehurst Correctional Complex",2,249,44
"2021-07-20","Northern","North Bay Jail",0,0,1
"2021-07-20","Central","Niagara Detention Centre",0,11,4
"2021-07-20","Western","Ottawa Carleton Detention Centre",0,77,11
"2021-07-20","Central","Ontario Correctional Institute",0,89,2
"2021-07-20","Eastern","Quinte Detention Centre",0,4,1
"2021-07-20","Western","Sarnia Jail",0,40,12
"2021-07-20","Western","South West Detention Center",0,35,15
"2021-07-20","Northern","Sudbury Jail",0,1,1
"2021-07-20","Western","Stradford Jail",0,0,0
"2021-07-20","Western","Thunder Bay Correctional Centre",0,48,16
"2021-07-20","Western","Thunder Bay Jail",0,78,20
"2021-07-20","Toronto","Toronto East Detention Centre",1,42,5
"2021-07-20","Toronto","Toronto South Detention Centre",0,317,35
"2021-07-20","Central","Milton-Vanier Centre For Women",0,39,17
"2021-07-21","Northern","Algoma Treatment and Remand Centre",0,3,1
"2021-07-21","Central","Central East Correctional Centre",1,197,26
"2021-07-21","Central","Central North Correctional Centre",0,105,4
"2021-07-21","Western","Elgin-Middlesex Det. Centre",1,60,13
"2021-07-21","Central","Hamilton Wentworth Det Centre",1,73,10
"2021-07-21","Northern","Kenora Jail",0,8,1
"2021-07-21","Northern","Monteith Correctional Centre",0,26,13
"2021-07-21","Central","Maplehurst Correctional Complex",1,250,45
"2021-07-21","Northern","North Bay Jail",0,0,1
"2021-07-21","Central","Niagara Detention Centre",0,11,4
"2021-07-21","Western","Ottawa Carleton Detention Centre",0,77,11
"2021-07-21","Central","Ontario Correctional Institute",0,89,2
"2021-07-21","Eastern","Quinte Detention Centre",0,4,1
"2021-07-21","Western","Sarnia Jail",0,40,12
"2021-07-21","Western","South West Detention Center",0,35,15
"2021-07-21","Northern","Sudbury Jail",0,1,1
"2021-07-21","Western","Stradford Jail",0,0,0
"2021-07-21","Western","Thunder Bay Correctional Centre",0,48,16
"2021-07-21","Western","Thunder Bay Jail",0,78,20
"2021-07-21","Toronto","Toronto East Detention Centre",0,43,5
"2021-07-21","Toronto","Toronto South Detention Centre",0,317,35
"2021-07-21","Central","Milton-Vanier Centre For Women",0,39,17
"2021-07-22","Northern","Algoma Treatment and Remand Centre",0,3,1
"2021-07-22","Central","Central East Correctional Centre",1,197,26
"2021-07-22","Central","Central North Correctional Centre",0,105,4
"2021-07-22","Western","Elgin-Middlesex Det. Centre",0,60,14
"2021-07-22","Central","Hamilton Wentworth Det Centre",1,73,10
"2021-07-22","Northern","Kenora Jail",0,9,1
"2021-07-22","Northern","Monteith Correctional Centre",0,27,13
"2021-07-22","Central","Maplehurst Correctional Complex",1,250,45
"2021-07-22","Northern","North Bay Jail",0,0,1
"2021-07-22","Central","Niagara Detention Centre",0,11,4
"2021-07-22","Western","Ottawa Carleton Detention Centre",0,77,11
"2021-07-22","Central","Ontario Correctional Institute",0,89,2
"2021-07-22","Eastern","Quinte Detention Centre",0,4,1
"2021-07-22","Western","Sarnia Jail",0,40,12
"2021-07-22","Western","South West Detention Center",0,35,15
"2021-07-22","Northern","Sudbury Jail",0,1,1
"2021-07-22","Western","Stradford Jail",0,0,0
"2021-07-22","Western","Thunder Bay Correctional Centre",0,48,16
"2021-07-22","Western","Thunder Bay Jail",0,78,20
"2021-07-22","Toronto","Toronto East Detention Centre",1,42,5
"2021-07-22","Toronto","Toronto South Detention Centre",0,317,35
"2021-07-22","Central","Milton-Vanier Centre For Women",0,39,17
"2021-07-25","Northern","Algoma Treatment and Remand Centre",0,3,1
"2021-07-25","Central","Central East Correctional Centre",1,197,26
"2021-07-25","Central","Central North Correctional Centre",0,105,4
"2021-07-25","Western","Elgin-Middlesex Det. Centre",0,60,14
"2021-07-25","Central","Hamilton Wentworth Det Centre",0,73,10
"2021-07-25","Northern","Kenora Jail",0,9,1
"2021-07-25","Northern","Monteith Correctional Centre",0,27,13
"2021-07-25","Central","Maplehurst Correctional Complex",1,250,45
"2021-07-25","Northern","North Bay Jail",0,0,1
"2021-07-25","Central","Niagara Detention Centre",0,11,4
"2021-07-25","Western","Ottawa Carleton Detention Centre",0,77,11
"2021-07-25","Central","Ontario Correctional Institute",0,89,2
"2021-07-25","Eastern","Quinte Detention Centre",0,4,1
"2021-07-25","Western","Sarnia Jail",0,40,12
"2021-07-25","Western","South West Detention Center",1,35,15
"2021-07-25","Northern","Sudbury Jail",0,1,1
"2021-07-25","Western","Stradford Jail",0,0,0
"2021-07-25","Western","Thunder Bay Correctional Centre",0,48,16
"2021-07-25","Western","Thunder Bay Jail",0,78,20
"2021-07-25","Toronto","Toronto East Detention Centre",1,42,5
"2021-07-25","Toronto","Toronto South Detention Centre",0,317,35
"2021-07-25","Central","Milton-Vanier Centre For Women",0,39,17
"2021-07-26","Northern","Algoma Treatment and Remand Centre",0,3,1
"2021-07-26","Central","Central East Correctional Centre",1,197,26
"2021-07-26","Central","Central North Correctional Centre",0,105,4
"2021-07-26","Western","Elgin-Middlesex Det. Centre",0,60,14
"2021-07-26","Central","Hamilton Wentworth Det Centre",0,73,10
"2021-07-26","Northern","Kenora Jail",0,9,1
"2021-07-26","Northern","Monteith Correctional Centre",0,27,13
"2021-07-26","Central","Maplehurst Correctional Complex",1,250,45
"2021-07-26","Northern","North Bay Jail",0,0,1
"2021-07-26","Central","Niagara Detention Centre",0,11,4
"2021-07-26","Western","Ottawa Carleton Detention Centre",1,77,11
"2021-07-26","Central","Ontario Correctional Institute",0,89,2
"2021-07-26","Eastern","Quinte Detention Centre",0,4,1
"2021-07-26","Western","Sarnia Jail",0,40,12
"2021-07-26","Western","South West Detention Center",1,35,15
"2021-07-26","Northern","Sudbury Jail",0,1,1
"2021-07-26","Western","Stradford Jail",0,0,0
"2021-07-26","Western","Thunder Bay Correctional Centre",0,48,16
"2021-07-26","Western","Thunder Bay Jail",0,78,20
"2021-07-26","Toronto","Toronto East Detention Centre",1,42,5
"2021-07-26","Toronto","Toronto South Detention Centre",0,317,35
"2021-07-26","Central","Milton-Vanier Centre For Women",0,39,17
"2021-07-27","Northern","Algoma Treatment and Remand Centre",0,3,1
"2021-07-27","Central","Central East Correctional Centre",1,197,26
"2021-07-27","Central","Central North Correctional Centre",0,105,4
"2021-07-27","Western","Elgin-Middlesex Det. Centre",0,60,14
"2021-07-27","Central","Hamilton Wentworth Det Centre",0,73,10
"2021-07-27","Northern","Kenora Jail",0,9,1
"2021-07-27","Northern","Monteith Correctional Centre",0,27,13
"2021-07-27","Central","Maplehurst Correctional Complex",1,250,45
"2021-07-27","Northern","North Bay Jail",0,0,1
"2021-07-27","Central","Niagara Detention Centre",0,11,4
"2021-07-27","Western","Ottawa Carleton Detention Centre",1,77,11
"2021-07-27","Central","Ontario Correctional Institute",0,89,2
"2021-07-27","Eastern","Quinte Detention Centre",0,4,1
"2021-07-27","Western","Sarnia Jail",0,40,12
"2021-07-27","Western","South West Detention Center",0,34,15
"2021-07-27","Northern","Sudbury Jail",0,1,1
"2021-07-27","Western","Stradford Jail",0,0,0
"2021-07-27","Western","Thunder Bay Correctional Centre",0,48,16
"2021-07-27","Western","Thunder Bay Jail",0,78,20
"2021-07-27","Toronto","Toronto East Detention Centre",1,42,5
"2021-07-27","Toronto","Toronto South Detention Centre",0,317,35
"2021-07-27","Central","Milton-Vanier Centre For Women",0,39,17
"2021-07-28","Northern","Algoma Treatment and Remand Centre",0,3,1
"2021-07-28","Central","Central East Correctional Centre",2,197,26
"2021-07-28","Central","Central North Correctional Centre",0,105,4
"2021-07-28","Western","Elgin-Middlesex Det. Centre",0,60,14
"2021-07-28","Central","Hamilton Wentworth Det Centre",0,73,10
"2021-07-28","Northern","Kenora Jail",0,9,1
"2021-07-28","Northern","Monteith Correctional Centre",0,27,13
"2021-07-28","Central","Maplehurst Correctional Complex",1,250,45
"2021-07-28","Northern","North Bay Jail",0,0,1
"2021-07-28","Central","Niagara Detention Centre",0,11,4
"2021-07-28","Western","Ottawa Carleton Detention Centre",2,77,11
"2021-07-28","Central","Ontario Correctional Institute",0,89,2
"2021-07-28","Eastern","Quinte Detention Centre",0,4,1
"2021-07-28","Western","Sarnia Jail",0,40,12
"2021-07-28","Western","South West Detention Center",0,34,15
"2021-07-28","Northern","Sudbury Jail",0,1,1
"2021-07-28","Western","Stradford Jail",0,0,0
"2021-07-28","Western","Thunder Bay Correctional Centre",0,48,16
"2021-07-28","Western","Thunder Bay Jail",0,78,20
"2021-07-28","Toronto","Toronto East Detention Centre",1,42,5
"2021-07-28","Toronto","Toronto South Detention Centre",0,317,35
"2021-07-28","Central","Milton-Vanier Centre For Women",0,39,17
"2021-07-29","Northern","Algoma Treatment and Remand Centre",0,3,1
"2021-07-29","Central","Central East Correctional Centre",2,197,26
"2021-07-29","Central","Central North Correctional Centre",0,105,4
"2021-07-29","Western","Elgin-Middlesex Det. Centre",0,60,14
"2021-07-29","Central","Hamilton Wentworth Det Centre",0,73,10
"2021-07-29","Northern","Kenora Jail",0,9,1
"2021-07-29","Northern","Monteith Correctional Centre",0,27,13
"2021-07-29","Central","Maplehurst Correctional Complex",1,250,45
"2021-07-29","Northern","North Bay Jail",0,0,1
"2021-07-29","Central","Niagara Detention Centre",0,11,4
"2021-07-29","Western","Ottawa Carleton Detention Centre",3,77,11
"2021-07-29","Central","Ontario Correctional Institute",0,89,2
"2021-07-29","Eastern","Quinte Detention Centre",0,4,1
"2021-07-29","Western","Sarnia Jail",0,40,12
"2021-07-29","Western","South West Detention Center",0,34,15
"2021-07-29","Northern","Sudbury Jail",0,1,1
"2021-07-29","Western","Stradford Jail",0,0,0
"2021-07-29","Western","Thunder Bay Correctional Centre",0,48,16
"2021-07-29","Western","Thunder Bay Jail",0,78,20
"2021-07-29","Toronto","Toronto East Detention Centre",1,42,5
"2021-07-29","Toronto","Toronto South Detention Centre",0,317,35
"2021-07-29","Central","Milton-Vanier Centre For Women",0,39,17
"2021-08-02","Northern","Algoma Treatment and Remand Centre",0,3,1
"2021-08-02","Central","Central East Correctional Centre",2,197,27
"2021-08-02","Central","Central North Correctional Centre",0,105,4
"2021-08-02","Western","Elgin-Middlesex Det. Centre",0,60,14
"2021-08-02","Central","Hamilton Wentworth Det Centre",1,73,10
"2021-08-02","Northern","Kenora Jail",0,9,1
"2021-08-02","Northern","Monteith Correctional Centre",0,27,13
"2021-08-02","Central","Maplehurst Correctional Complex",0,251,45
"2021-08-02","Northern","North Bay Jail",0,0,1
"2021-08-02","Central","Niagara Detention Centre",0,11,4
"2021-08-02","Western","Ottawa Carleton Detention Centre",1,78,11
"2021-08-02","Central","Ontario Correctional Institute",0,89,2
"2021-08-02","Eastern","Quinte Detention Centre",0,4,1
"2021-08-02","Western","Sarnia Jail",0,40,12
"2021-08-02","Western","South West Detention Center",0,34,15
"2021-08-02","Northern","Sudbury Jail",0,1,1
"2021-08-02","Western","Stradford Jail",0,0,0
"2021-08-02","Western","Thunder Bay Correctional Centre",0,48,16
"2021-08-02","Western","Thunder Bay Jail",0,78,20
"2021-08-02","Toronto","Toronto East Detention Centre",0,42,5
"2021-08-02","Toronto","Toronto South Detention Centre",0,317,35
"2021-08-02","Central","Milton-Vanier Centre For Women",0,39,17
"2021-08-03","Northern","Algoma Treatment and Remand Centre",0,3,1
"2021-08-03","Central","Central East Correctional Centre",3,197,27
"2021-08-03","Central","Central North Correctional Centre",0,105,4
"2021-08-03","Western","Elgin Middlesex Detention Centre",0,60,14
"2021-08-03","Central","Hamilton Wentworth Detention Centre",1,73,10
"2021-08-03","Northern","Kenora Jail",0,9,1
"2021-08-03","Northern","Monteith Correctional Complex",0,27,13
"2021-08-03","Central","Maplehurst Correctional Complex",0,251,45
"2021-08-03","Northern","North Bay Jail",0,0,1
"2021-08-03","Central","Niagara Detention Centre",0,11,4
"2021-08-03","Western","Ottawa Carleton Detention Centre",1,78,11
"2021-08-03","Central","Ontario Correctional Institute",0,89,2
"2021-08-03","Eastern","Quinte Detention Centre",0,4,1
"2021-08-03","Western","Sarnia Jail",1,40,12
"2021-08-03","Western","South West Detention Centre",0,34,15
"2021-08-03","Northern","Stratford Jail",0,1,1
"2021-08-03","Western","Sudbury Jail",0,0,0
"2021-08-03","Western","Thunder Bay Correctional Centre",0,48,16
"2021-08-03","Western","Thunder Bay Jail",1,78,20
"2021-08-03","Toronto","Toronto East Detention Centre",0,42,5
"2021-08-03","Toronto","Toronto South Detention Centre",0,317,35
"2021-08-03","Central","Vanier Centre for Women",0,39,17
"2021-08-04","Northern","Algoma Treatment and Remand Centre",0,3,1
"2021-08-04","Central","Central East Correctional Centre",3,197,27
"2021-08-04","Central","Central North Correctional Centre",0,105,4
"2021-08-04","Western","Elgin Middlesex Detention Centre",0,60,14
"2021-08-04","Central","Hamilton Wentworth Detention Centre",1,73,10
"2021-08-04","Northern","Kenora Jail",0,9,1
"2021-08-04","Northern","Monteith Correctional Complex",0,27,13
"2021-08-04","Central","Maplehurst Correctional Complex",0,251,45
"2021-08-04","Northern","North Bay Jail",0,0,1
"2021-08-04","Central","Niagara Detention Centre",0,11,4
"2021-08-04","Western","Ottawa Carleton Detention Centre",1,78,11
"2021-08-04","Central","Ontario Correctional Institute",0,89,2
"2021-08-04","Eastern","Quinte Detention Centre",0,4,1
"2021-08-04","Western","Sarnia Jail",0,40,12
"2021-08-04","Western","South West Detention Centre",0,34,15
"2021-08-04","Northern","Stratford Jail",0,1,1
"2021-08-04","Western","Sudbury Jail",0,0,0
"2021-08-04","Western","Thunder Bay Correctional Centre",0,48,16
"2021-08-04","Western","Thunder Bay Jail",0,78,20
"2021-08-04","Toronto","Toronto East Detention Centre",0,42,5
"2021-08-04","Toronto","Toronto South Detention Centre",0,317,35
"2021-08-04","Central","Vanier Centre for Women",0,39,17
"2021-08-05","Northern","Algoma Treatment and Remand Centre",0,3,1
"2021-08-05","Central","Central East Correctional Centre",3,197,27
"2021-08-05","Central","Central North Correctional Centre",0,105,4
"2021-08-05","Western","Elgin Middlesex Detention Centre",0,60,14
"2021-08-05","Central","Hamilton Wentworth Detention Centre",1,73,10
"2021-08-05","Northern","Kenora Jail",0,9,1
"2021-08-05","Northern","Monteith Correctional Complex",0,27,13
"2021-08-05","Central","Maplehurst Correctional Complex",0,251,45
"2021-08-05","Northern","North Bay Jail",0,0,1
"2021-08-05","Central","Niagara Detention Centre",0,11,4
"2021-08-05","Western","Ottawa Carleton Detention Centre",1,78,11
"2021-08-05","Central","Ontario Correctional Institute",0,89,2
"2021-08-05","Eastern","Quinte Detention Centre",0,4,1
"2021-08-05","Western","Sarnia Jail",0,40,12
"2021-08-05","Western","South West Detention Centre",0,34,15
"2021-08-05","Northern","Stratford Jail",0,1,1
"2021-08-05","Western","Sudbury Jail",0,0,0
"2021-08-05","Western","Thunder Bay Correctional Centre",0,48,16
"2021-08-05","Western","Thunder Bay Jail",0,78,20
"2021-08-05","Toronto","Toronto East Detention Centre",0,42,5
"2021-08-05","Toronto","Toronto South Detention Centre",0,317,35
"2021-08-05","Central","Vanier Centre for Women",0,39,17
"2021-08-08","Northern","Algoma Treatment and Remand Centre",0,3,1
"2021-08-08","Central","Central East Correctional Centre",2,198,27
"2021-08-08","Central","Central North Correctional Centre",1,105,4
"2021-08-08","Western","Elgin Middlesex Detention Centre",0,60,14
"2021-08-08","Central","Hamilton Wentworth Detention Centre",1,73,10
"2021-08-08","Northern","Kenora Jail",0,9,1
"2021-08-08","Northern","Monteith Correctional Complex",0,27,13
"2021-08-08","Central","Maplehurst Correctional Complex",0,251,45
"2021-08-08","Northern","North Bay Jail",1,0,1
"2021-08-08","Central","Niagara Detention Centre",1,11,4
"2021-08-08","Western","Ottawa Carleton Detention Centre",0,79,11
"2021-08-08","Central","Ontario Correctional Institute",0,89,2
"2021-08-08","Eastern","Quinte Detention Centre",0,4,1
"2021-08-08","Western","Sarnia Jail",0,40,12
"2021-08-08","Western","South West Detention Centre",0,34,15
"2021-08-08","Northern","Stratford Jail",0,1,1
"2021-08-08","Western","Sudbury Jail",0,0,0
"2021-08-08","Western","Thunder Bay Correctional Centre",0,48,16
"2021-08-08","Western","Thunder Bay Jail",0,78,20
"2021-08-08","Toronto","Toronto East Detention Centre",0,42,5
"2021-08-08","Toronto","Toronto South Detention Centre",0,317,35
"2021-08-08","Central","Vanier Centre for Women",0,39,17
"2021-08-09","Northern","Algoma Treatment and Remand Centre",0,3,1
"2021-08-09","Central","Central East Correctional Centre",2,198,27
"2021-08-09","Central","Central North Correctional Centre",1,105,4
"2021-08-09","Western","Elgin Middlesex Detention Centre",0,60,14
"2021-08-09","Central","Hamilton Wentworth Detention Centre",1,73,10
"2021-08-09","Northern","Kenora Jail",0,9,1
"2021-08-09","Northern","Monteith Correctional Complex",0,27,13
"2021-08-09","Central","Maplehurst Correctional Complex",1,251,45
"2021-08-09","Northern","North Bay Jail",1,0,1
"2021-08-09","Central","Niagara Detention Centre",1,11,4
"2021-08-09","Western","Ottawa Carleton Detention Centre",0,79,11
"2021-08-09","Central","Ontario Correctional Institute",0,89,2
"2021-08-09","Eastern","Quinte Detention Centre",0,4,1
"2021-08-09","Western","Sarnia Jail",0,40,12
"2021-08-09","Western","South West Detention Centre",0,34,15
"2021-08-09","Northern","Stratford Jail",0,1,1
